allele_name,pipeline_names,similar_names
TRBV7-6*01, TRBV7-6*01, 
TRBV7-6*01_02, TRBV7-6*bp01, 
TRBV7-7*01, TRBV7-7*01, 
TRBV7-7*01_02, TRBV7-7*bp01, 
TRBV7-8*01, TRBV7-8*01;TRBV7-8*bp01, 
TRBV7-8*02, TRBV7-8*02, 
TRBV7-8*03, TRBV7-8*03, 
TRBV7-8*Del, TRBV7-8*Del, 
TRBV7-9*01, TRBV7-9*01, 
TRBV7-9*01_02_03, TRBV7-9*bp01, 
TRBV7-9*03, TRBV7-9*03, 
TRBV7-9*05, TRBV7-9*05;TRBV7-9*bp03, 
TRBV7-9*07, TRBV7-9*bp05, 
TRBV7-9*Del, TRBV7-9*Del, 
TRBV9*01, TRBV9*01;TRBV9*bp01, 
TRBV9*02, TRBV9*02;TRBV9*bp02, 
